pubchem id,common name,flavor profile
4,1-Aminopropan-2-ol,{'fishy'}
100031,4-Isopropenyl-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one,"{'spearmint', 'minty'}"
1001,Phenethylamine,"{'fishy', 'ammoniacal'}"
10037,Allene,{''}
101010,"2-Methyl-4-propyl-1,3-oxathiane","{'tropica', 'tropical', 'green', 'pineapple', 'galbanum'}"
10104370,beta-Bisabolene,{''}
10106,"1,4-Cineole","{'green', 'spice', 'terpene', 'pine', 'camphor', 'minty', 'cooling'}"
101115,"2,6,6-trimethyl-2-hydroxycyclohexanone","{'sweet', 'tobacco', 'herbal'}"
101716,Globulol,"{'floral', 'rose'}"
101750,p-Camphorene,"{'low', 'solvent', 'diterpene'}"
102024,cis-Carvyl acetate,{''}
10224,483-77-2,"{'herb', 'spice'}"
10225,Cadalene,{''}
10231,Dillapiole,"{'spice', 'wood'}"
10248,Elemicin,"{'flower', 'spice'}"
102550,Lavender lactone,"{'fruity', 'minty'}"
102611,6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol,"{'wood', 'floral', 'green', 'flower', 'herbal', 'earthy'}"
102667,Pinocarveol,"{'camphor', 'woody', 'pine', 'herbal', 'balsam'}"
10281,Thymoquinone,{''}
10282,Piperitol,"{'herb', 'herbal'}"
102861,24851-98-7,"{'jasmin', 'floral', 'natural', 'tropical', 'oily', 'lactonic', 'green'}"
1030,"1,2-propanediol","{'odorless', 'alcoholic', 'very slight'}"
1031,1-propanol,"{'alcohol', 'fermented', 'alcoholic', 'musty', 'fusel', 'peanut', 'pungent'}"
1032,propionic acid,"{'rancid', 'acidic', 'cheesy', 'soy', 'vinegar', 'pungent'}"
10341,2(5H)-Furanone,{'buttery'}
10353,p-MENTHAN-8-OL,"{'terpenic', 'woody', 'pine', 'sweet', 'lime'}"
10362,Carvomenthone,"{'herbal', 'spearmint', 'minty'}"
10364,Carvacrol,"{'spice', 'woody', 'thymol', 'camphor'}"
10393,2-(4-Hydroxyphenyl)ethanol,"{'floral', 'fruity', 'sweet', 'mild'}"
10398656,alpha-Cadinol,{''}
10402,Citronellic acid,"{'smoky', 'floral', 'grassy', 'green', 'fatty'}"
10405,5-Nonanone,{''}
10407,(E)-.beta.-Farnesene,"{'citrus', 'green'}"
10408,"6,10,14-Trimethylpentadecan-2-one","{'celery', 'woody', 'fat', 'oily', 'herbal', 'jasmin'}"
10430,Isovaleric Acid,"{'acid', 'sweaty', 'rancid', 'tropical', 'animal', 'sweat', 'feet', 'cheese', 'stinky', 'sour'}"
10448,3-methylthiopropanol,"{'potato', 'onion', 'sulfurous', 'vegetable', 'sweet', 'soup'}"
10451,"1,3-Dithiane","{'roasted', 'alliaceous'}"
10452,"1,4-Dithiane","{'fishy', 'onion', 'garlic', 'sulfurous', 'pyridine', 'solvent'}"
10453,Isophytol,{''}
104620,"4,5-Dimethyl-2-propyloxazole","{'roasted', 'burnt'}"
104722,"1-(3,6-dimethylpyrazin-2-yl)ethanone","{'popcorn', 'roasted', 'hazelnut'}"
1049,Pyridine,"{'fishy', 'putrid', 'sickening', 'rancid', 'sour', 'amine'}"
10534,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-",{'woody'}
10558,Isobutyl mercaptan,"{'cooked', 'vegetable', 'mustard'}"
10582,Myrtenol,"{'pine', 'woody', 'balsam', 'mint', 'medical', 'sweet'}"
10586,Bisabolol,"{'floral', 'flower', 'mild', 'spice', 'peppery'}"
1060,Pyruvic acid,"{'acetic', 'sour', 'caramellic', 'sharp'}"
106441,2-isopropyl-6-methoxypyrazine,{''}
10657,Beta-Cadinene,{''}
10659,Apiole,"{'faint', 'parsley'}"
10680,Flavone,{'bitter'}
1068,dimethyl sulfide,"{'sulfurous', 'sulfur', 'vegetable', 'gasoline', 'onion', 'sulfury', 'tomato', 'radish', 'wild', 'cabbage', 'green', 'sweet corn'}"
10703,2-Isopropyltoluene,{''}
107152,"Azulene, 1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, (1S,4S,7R)-","{'peppery', 'woody', 'balsam', 'wood', 'balsamic', 'sweet'}"
107153,3695-24-7,{''}
107166,3738-00-9,"{'old paper', 'labdanum', 'ambergris', 'dry', 'sweet'}"
107217,Fenchyl acetate,"{'fir', 'citrus', 'pine', 'sweet', 'fresh', 'herbal'}"
10722,2-Methylbenzaldehyde,{'cherry'}
107,3-Phenylpropanoic acid,"{'balsamic', 'fatty', 'cinnamon', 'musk', 'sweet', 'rose'}"
10748,7-Methoxycoumarin,"{'sweet', 'balsam', 'balsamic', 'tonka'}"
107561,(-)-piperitone,"{'pungent', 'peppermint', 'minty'}"
107689,L-Lactic acid,"{'acidic', 'odorless'}"
107905,(-)-Epicatechin gallate,{'bitter'}
10795,"1,1-Dimethoxyethane","{'new mown hay', 'alcohol', 'green', 'sweet', 'ether', 'sharp'}"
107971,Daidzin,{'bitter'}
10797,2-Methylfuran,"{'ethereal', 'chocolate', 'acetone'}"
10812,M-Cymene,{''}
10817,1-(4-Methylphenyl)ethanol,"{'powdery', 'floral', 'nutty', 'hawthorn', 'sweet'}"
10819,Perilla alcohol,"{'linalool', 'green', 'fatty', 'terpineol'}"
10823,3-Ethylpyridine,"{'wine_like', 'smoky', 'floral', 'citrus', 'tobacco', 'vegetable', 'woody', 'herbaceous', 'leather', 'oakmoss', 'nutty', 'peanut', 'earthy', 'green', 'meaty', 'musty', 'spicy', 'caramel', 'fruity', 'fatty'}"
10856614,Alpha-Selinene,{'amber'}
10867438,Khusimone,{''}
10873,(Ethoxymethyl)benzene,"{'pineapple', 'powerful', 'fruity'}"
10878761,Hinesol,{''}
10882,Ethyl pentanoate,"{'green', 'fruity', 'yeast', 'tropical', 'fruit', 'apple', 'sweet', 'pineapple'}"
10883,Ethyl Levulinate,"{'berry', 'floral', 'pineapple', 'green', 'sweet', 'rhubarb', 'fruity'}"
10885,Isobutyl butyrate,"{'berry', 'apple', 'pineapple', 'rum', 'sweet', 'fruity'}"
10886,Pentyl Hexanoate,"{'sweet', 'estery', 'apple', 'green', 'pear', 'pineapple', 'fruity', 'fatty'}"
10887828,2-Methylthioacetaldehyde,"{'sulfurous', 'potato', 'vegetable', 'garlic', 'onion', 'nutty', 'mustard'}"
10890,Pentyl Butyrate,"{'cherry', 'pineapple', 'tropical', 'sweet', 'banana', 'fruity'}"
10895,Isobutyl propionate,"{'tutti frutti', 'bitter', 'green', 'sweet', 'banana', 'ether', 'fruity'}"
10902,"1,2-Ethanedithiol",{'sulfury'}
10925,Isoamyl mercaptan,"{'onion', 'glue'}"
10931,"3,3-Dimethylacrylic acid","{'dairy', 'alcohol', 'phenolic', 'green'}"
10934,"2,4-Dimethylthiazole","{'roasted', 'mold', 'rubber', 'coffee', 'barley', 'beefy', 'tea'}"
10943,"1,3-Dichlorobenzene",{''}
10957,Isobutyl Formate,"{'sweet', 'chemical', 'ether', 'fruity'}"
10966,Ethyl isothiocyanate,"{'mustard', 'garlic', 'pungent'}"
10975,Myrcenol,"{'floral', 'citrus', 'lavender', 'fresh'}"
10976,2-Heptanol,"{'fresh', 'green', 'mushroom', 'fruity', 'lemon', 'herbal', 'bitter', 'grass', 'floral', 'sweet'}"
10979,n-Propyl nitrite,{''}
11002,Dibutyl sulfide,"{'grassy', 'green', 'rose', 'herbal', 'violet-leaf', 'geranium'}"
11005,Tetradecanoic acid,"{'coconut', 'waxy', 'fatty', 'soapy'}"
11006,Hexadecane,{'alkane'}
11027,3-Thujanone,{'cedarleaf'}
11038,Pinocamphone,{''}
